date,donee,donee_url,description,program_area,focus,amount
09/2018,Health Care Without Harm,http://www.noharm.org,To harness the assets of health care facilities and allied institutions to identify and invest in projects that develop a sustainable New England food system.,Regional Food Systems,,"$85,000"
09/2018,Healthy Babies Bright Futures,http://www.hbbf.org,To lower babies’ exposures to neurotoxic chemicals.,Health and Environment,Healthy Babies Bright Futures,"$200,000"
09/2018,University of Massachusetts Lowell Center for Sustainable Production,http://www.uml.edu/research/lowell-center/,"To grow, strengthen, and institutionalize key Green Chemistry and Commerce Council programs to advance green chemistry throughout supply chains.",Health and Environment,,"$60,000"
09/2018,Healthy Building Network,http://www.healthybuilding.net/,To (1) reduce negative health and environmental impacts of toxic exposures by decreasing or eliminating known harmful chemicals from products; and (2) accelerate the adoption of healthy building protocols leading to a measurable increase in transparency and healthier building product demand and installation.,Health and Environment,,"$125,000"
09/2018,Clean Production Action,http://www.cleanproduction.org/,"To raise market demand for, and availability of, safer alternatives to hazardous chemicals; cultivate corporate and NGO capacities to transform chemicals management; and diversify revenue through business development.",Health and Environment,,"$115,000"
09/2018,Energize Rhode Island,http://www.energizeri.org/,To put a price on carbon and accelerate adoption of greenhouse gas reduction strategies.,Clean Energy,,"$45,000"
09/2018,Vermont Public Interest Research and Education Fund,http://www.vpirg.org,"To enact a carbon price that will strengthen Vermont’s economy, prioritize low- and middle-income Vermonters in the transition to a clean energy economy, and reduce climate pollution.",Clean Energy,,"$75,000"
09/2018,Clean Water Fund,http://www.cleanwaterfund.org/,"To support the Massachusetts Campaign for a Clean Energy Future, a coalition effort to establish a price on carbon in Massachusetts.",Clean Energy,,"$75,000"
09/2018,Dream Corps,http://www.thedreamcorps.org/,To support Green For All’s efforts to advance equitable clean transportation policies across the Northeast and Mid-Atlantic.,Clean Energy,Transportation,"$50,000"
09/2018,Northeast States for Coordinated Air Use Management,http://www.nescaum.org/,To accelerate deployment of electric vehicles and charging infrastructure in the Northeast.,Clean Energy,Transportation,"$100,000"
09/2018,New England News Collaborative,http://www.nenc.news/,To provide objective evidence-based reporting that increases visibility and deepens local and regional understanding of clean energy and climate issues in New England.,Clean Energy,,"$50,000"
09/2018,Energy Action Network,http://www.eanvt.org/,"To conduct statewide energy tracking and analysis, and to convene Vermont stakeholders to catalyze and advance progress toward Vermont’s 2025 and 2050 energy and climate commitments.",Clean Energy,,"$45,000"
09/2018,Chambers for Innovation and Clean Energy,http://www.chambersforinnovation.com,To leverage local chamber of commerce leadership in Massachusetts and Connecticut to advance clean energy policies and invest in clean energy projects.,Clean Energy,,"$75,000"
09/2018,American Farmland Trust,http://www.farmland.org/,To create a multi-stakeholder coalition of farmland and clean energy groups to accelerate the expansion of solar facility siting while preserving New England’s most productive farm and forestland.,Regional Food Systems,,"$100,000"
08/2018,University of Massachusetts Lowell Center for Sustainable Production,http://www.uml.edu/research/lowell-center/,"To establish better operational systems for personnel, member and prospect tracking, budgets, and international communications; and to strengthen the advisory committee’s role in the organization.",Capacity Building,,"$20,000"
08/2018,Vermont Sustainable Jobs Fund,http://www.vsjf.org/,"Serving as convenor of the New England State Food System Planners Community of Practice, to support the COP as it develops a shared fundraising strategy and improves the ability of each state—and the region as a whole—to track and communicate its progress toward food-related goals",Capacity Building,,"$44,000"
08/2018,Red Tomato,http://www.redtomato.org,"To work with consultants to help the organization understand, spec out, and generate excitement around potential value-added products within the Eco Apple program.",Capacity Building,,"$25,000"
08/2018,Real Food Challenge,http://www.realfoodchallenge.org/,"To support the Big Three Coalition by establishing and training a fundraising committee, providing communications support to the coalition, and providing training for coalition members negotiating campaign demands with the largest food service management companies.",Capacity Building,,"$20,000"
08/2018,Northeast Sustainable Agriculture Working Group,http://www.nesawg.org/,"To provide fundraising support and coaching for the executive director, strategic communications support, and racial justice and equity competency training for board and staff.",Capacity Building,,"$15,000"
08/2018,Northeast Organic Farming Association of Vermont,http://www.nofavt.org/,To support leadership succession and transition planning.,Capacity Building,,"$39,000"
08/2018,Massachusetts Farm to School,http://www.massfarmtoschool.org/,To expand and diversify the organization’s fundraising capacity and strengthen its communications capacity.,Capacity Building,,"$35,000"
08/2018,Maine Farmland Trust,http://www.mainefarmlandtrust.org/,To implement a one-year strategic planning process focused on developing a clearly articulated set of values and a long-term guiding vision.,Capacity Building,,"$35,000"
08/2018,Land for Good,http://www.landforgood.org/,To update Land for Good’s strategic plan.,Capacity Building,,"$22,000"
08/2018,Food Connects,http://www.foodconnects.org/,To create a balanced and sustainable charitable funding mix that engages a loyal cadre of diverse donors.,Capacity Building,,"$21,300"
08/2018,Farm to Institution New England,http://www.farmtoinstitution.org/,To grow and diversify FINE’s funding base and sharpen its communication strategy.,Capacity Building,,"$21,700"
08/2018,Cooperative Development Institute,http://www.cdi.coop/,"To more effectively engage a broader constituency—particularly people of color—as clients, staff, board, and partners.",Capacity Building,,"$22,000"
08/2018,Oregon Environmental Council,http://www.oeconline.org/,"To build a strategic equity platform for program work, as well as the internal infrastructure to support this platform, and to raise additional funds for the organization through communications that lift up its commitment to diversity and inclusivity.",Capacity Building,,"$35,000"
08/2018,Learning Disabilities Association of America,http://www.ldaamerica.org/,To establish a unified database system and a fundraising plan for the Healthy Children Project.,Capacity Building,,"$40,000"
08/2018,Coming Clean,http://www.comingcleaninc.org/,"To improve internal organization and external alignment with partners and funders to more effectively bridge divides separating fossil fuels, chemicals, climate, and environmental health and justice organizing.",Capacity Building,,"$35,000"
08/2018,Vermont Energy Investment Corporation,http://www.veic.org/,"To assess what current Drive Electric Vermont stakeholders value about the coalition, explore various governance options, and investigate funding models.",Capacity Building,,"$30,000"
08/2018,NESCAUM,http://www.nescaum.org/,To conduct an executive director transition.,Capacity Building,,"$25,000"
08/2018,Natural Resources Council of Maine,http://www.nrcm.org/,To develop and implement a new membership outreach program.,Capacity Building,,"$30,000"
08/2018,Connecticut Fund for the Environment,http://www.ctenvironment.org/,"To assist with a development plan, messaging, and computer upgrades.",Capacity Building,,"$30,000"
08/2018,Conservation Law Foundation,http://www.clf.org/,"To support the implementation of software that would improve CLF’s content management system, increasing workflow efficiency and bolstering overall organizational capacity.",Capacity Building,,"$30,000"
08/2018,Toxics Action Center,http://www.toxicsaction.org/,"To develop a unified “brand” identity that best articulates the organization’s mission, vision, and strategic direction.",Capacity Building,,"$30,000"
06/2018,Advanced Energy Economy Institute,http://www.aeeinstitute.org/home,To develop an “Electric Vehicle Roadmap” that will assist public utility commissions in developing clean energy policies relating to electric vehicles.,Clean Energy,Transportation,"$15,000"
06/2018,RTI International,http://www.rti.org/impact/rti-center-newborn-screening-ethics-and-disability-studies,"To develop and test an intervention to address and support the development of infants with a confirmed diagnosis of Fragile X syndrome. First payment of a four-year, $1,000,000 grant.",Developmental Disabilities,Research to Clinical Practice Program,"$250,000"
06/2018,New Hampshire Community Loan Fund,http://www.communityloanfund.org/,"To work toward sustainability and systems change for farmers and food producers in New Hampshire by offering hands-on financial literacy training, expanding market channels, and connecting farms with agricultural financiers.",Regional Food Systems,,"$40,000"
06/2018,Food Connects,http://www.foodconnects.org/index.html,To leverage existing food hub network relationships to increase local food purchases in the region and support the broader development of inter-hub relationships and knowledge sharing.,Regional Food Systems,,"$75,000"
06/2018,Farm to Institution New England,http://www.farmtoinstitution.org/,"To develop effective tools, resources, and policy recommendations to open institutional markets to regional farmers and food producers, particularly within higher education.",Regional Food Systems,,"$225,000"
06/2018,Rhode Island Food Policy Council,http://www.rifoodcouncil.org/,"To grow new local food supply chains for institutions in Rhode Island and to select, track, and communicate about progress toward key metrics outlined in the Rhode Island Food Strategy.",Regional Food Systems,,"$40,000"
06/2018,National Sustainable Agriculture Coalition,http://www.sustainableagriculture.net/,"To maintain an organizer in the New England plus New York region to educate and engage grassroots farm and food groups and practitioners around federal agriculture policy, and establish a multi-region national network of such organizers to allow for sustained policy advocacy.",Regional Food Systems,,"$50,000"
06/2018,International Chemical Secretariat,http://www.chemsec.org/,To cement the online business-to-business Marketplace platform as the number one space for chemical innovation and green chemistry.,Health and Environment,,"$110,000"
06/2018,Coming Clean,http://www.comingcleaninc.org/,"To support organizing for safer corporate and public chemicals policies from the bottom up, in a way that builds an integrated movement that persists over time.",Health and Environment,,"$200,000"
06/2018,Learning Disabilities Association of America,http://www.ldaamerica.org/,"To work through a nationwide network of affiliates, members, and partners to prevent toxic exposures by translating science on chemicals that harm brain development, and by contributing to positive change in the marketplace and chemicals policy.",Health and Environment,,"$100,000"
06/2018,Ecology Center,http://www.ecocenter.org/,"To leverage product testing results to detoxify food and food packaging, children’s car seats and crib mattresses, and indoor building materials.",Health and Environment,,"$100,000"
06/2018,Environmental Health Strategy Center,http://www.ourhealthyfuture.org/,To protect children’s health by persuading major food manufacturers to identify and eliminate phthalates in food contact materials in favor of safer alternatives.,Health and Environment,,"$225,000"
06/2018,Natural Resources Defense Council,http://www.nrdc.org/,"To reduce or eliminate human and environmental exposure to toxic chemicals by fighting to ensure that science-based, health-protective policies for all chemicals are put in place.",Health and Environment,,"$75,000"
06/2018,REACH Strategies,http://www.reach-strategies.org/,"To help Massachusetts establish a public-private “electric vehicle recognition program” for companies and other large institutions, designed to encourage more investment in electric vehicles and infrastructure.",Clean Energy,Transportation,"$25,000"
06/2018,Union of Concerned Scientists,http://www.ucsusa.org/,To accelerate electrification in the transportation sector in New England.,Clean Energy,Transportation,"$65,000"
06/2018,Georgetown Climate Center,http://www.georgetownclimate.org/,"To develop a Northeast regional electric vehicle charging network, accelerate deployment of electric transit buses, and engage states in designing a regional program to fund investments in clean transportation.",Clean Energy,Transportation,"$100,000"
06/2018,Regulatory Assistance Project,http://www.raponline.org/,"To transform New England’s power sector with policies that advance clean energy by educating and advising public utility commissioners, state agencies, regional stakeholders, and advocates.",Clean Energy,,"$100,000"
06/2018,Vote Solar,http://www.votesolar.org/,"To drive solar energy growth in New England by developing, implementing, and expanding foundational solar policies while amplifying public support for clean, local energy.",Clean Energy,Efficiency/Renewables,"$75,000"
06/2018,Energy Consumers Alliance of New England,http://www.massenergy.org/,"To accelerate renewable energy development, improve state policy for electric vehicle adoption, and promote energy efficiency and storage.",Clean Energy,Efficiency/Renewables,"$25,000"
06/2018,National Wildlife Federation,http://www.nwf.org/Northeast.aspx,"To build the political support needed to launch offshore wind power in New England and the Northeast through multistate organizing, strategic communications, and policymaker education.",Clean Energy,Efficiency/Renewables,"$100,000"
06/2018,Northeast Energy Efficiency Partnerships,http://www.neep.org/,"To help New England states and local governments build, expand, and implement strong policies to achieve cost-effective energy efficiency.",Clean Energy,Increase Efficiency/Renewables,"$125,000"
06/2018,Toxics Action Center,http://www.toxicsaction.org/,"To close New England’s remaining coal-fired power plants, secure appropriate redevelopment of sites, prevent overbuilding of natural gas, and mobilize grassroots support for clean energy.",Clean Energy,Reduce Fossil Fuel Use,"$110,000"
05/2018,Sustainable Agriculture & Food Systems Funders,http://www.safsf.org/,To facilitate a significant presence of New England-based sustainable farming and food system organizations at the June 2018 meeting of the Northeast Association of State Directors of Agriculture and the September 2018 meeting of the National Association of State Departments of Agriculture.,Regional Food Systems,,"$15,000"
04/2018,Breast Cancer Prevention Partners,http://www.bcpp.org,To ensure a smooth transition to the next president and CEO.,Health and Environment,,"$15,000"
04/2018,NECEC Institute,http://www.necec.org/,To advance clean energy in Rhode Island by participating in the Public Utility Commission power sector transformation and rate cases.,Clean Energy,,"$15,000"
03/2018,The Carrot Project,http://www.thecarrotproject.org/,"To successfully transition from planning to implementation of The Blueprint, by building a business assistance network for farms and food businesses.",Regional Food Systems,,"$40,000"
03/2018,Maine Farmland Trust,http://www.mainefarmlandtrust.org/,"To help more farmers scale up for the wholesale market, which is essential to growing local and regional markets and the farming sector in Maine.",Regional Food Systems,,"$50,000"
03/2018,Maine Organic Farmers and Gardeners Association,http://www.mofga.org/,"To ensure that Maine farmers and food producers are able to ramp up production, particularly in Aroostook County, as demand increases for healthy, sustainable, and organic food throughout the region.",Regional Food Systems,,"$50,000"
03/2018,Vermont Sustainable Jobs Fund,http://www.vsjf.org/,To enable greater coordination and collaboration among organizations across Vermont to achieve the 25 goals of Vermont’s Farm to Plate Strategic Plan by 2020.,Regional Food Systems,,"$100,000"
03/2018,Massachusetts Food System Collaborative,http://www.mafoodsystem.org/,"To work toward a more equitable and sustainable food system for the Commonwealth of Massachusetts by promoting, monitoring, and facilitating implementation of the Massachusetts Local Food Action Plan.",Regional Food Systems,,"$50,000"
03/2018,University of New Hampshire Foundation,http://www.foodsolutionsne.org/new-england-food-vision,"To support Food Solutions New England’s work to implement key projects related to three core strategies, build network leadership, and further racial equity in the region.",Regional Food Systems,,"$125,000"
03/2018,Columbia Center for Children’s Environmental Health,http://www.ccceh.org,"To undertake new research to more holistically quantify the full health and economic benefits of policies that reduce fossil fuel pollution and encourage a switch to a sustainable, low-carbon economy, particularly highlighting the positive impact on human health, including neurodevelopment in babies and children.",Health and Environment,,"$75,000"
03/2018,Clean Production Action,http://www.cleanproduction.org/,"To enable the Chemical Footprint Project to transform how corporations set management policies, manage supply chains, select and use chemicals and materials, and publicly report on their progress in moving away from toxic chemicals.",Health and Environment,,"$200,000"
03/2018,Center for Environmental Health,http://www.ceh.org/,To reduce exposure to hormone-disrupting chemicals by leveraging the buying power of large purchasers and protecting environmental health policies and programs.,Health and Environment,,"$70,000"
03/2018,Safer States,http://www.saferstates.org/,To support core state policy reform and market-based activities and provide additional resources to state coalitions working on chemicals policy reforms.,Health and Environment,,"$275,000"
03/2018,Kitchen Table Campaigns,http://www.saferchemicals.org/,"To enable Safer Chemicals, Healthy Families to educate the public about federal chemicals policy and to significantly improve chemicals management of the largest retailers in the United States.",Health and Environment,,"$400,000"
03/2018,Sierra Club Foundation,http://www.sierraclubfoundation.org/,"To support the Northeast “Clean Transportation for All” campaign to accelerate electric vehicle adoption in the New England states, with a particular focus on Massachusetts, Connecticut, and Rhode Island.",Clean Energy,,"$75,000"
03/2018,Natural Resources Council of Maine,http://www.nrcm.org/,"To increase and implement energy efficiency investments, renewable energy, clean transportation, and climate action in Maine and create a new climate action plan for Maine.",Clean Energy,,"$60,000"
03/2018,New Hampshire Sustainable Energy Association,http://www.nhsea.org/,"To protect and expand clean energy and efficiency policies in New Hampshire and broaden support for these policies among business leaders, opinion leaders, and conservatives.",Clean Energy,,"$50,000"
03/2018,Interreligious Eco-Justice Network,http://www.ctclimateandjobs.org/,"To enable the Connecticut Roundtable on Climate and Jobs campaign to strengthen collaboration among Connecticut’s labor, environment, and religious groups to champion climate change and clean energy policies.",Clean Energy,,"$30,000"
03/2018,Environment America Research and Policy Center,http://www.environmentamericacenter.org/,To secure “100% renewable energy” commitments in Massachusetts and to establish clean energy policy goals in the region.,Clean Energy,,"$75,000"
03/2018,Conservation Law Foundation,http://www.clf.org,"To support the Clean Energy and Climate Change Program, which is working to ensure New England decarbonizes the energy system in order to meet climate goals.",Clean Energy,,"$325,000"
03/2018,Clean Water Fund,http://www.mapowerforward.com/,"To support Mass Power Forward, a statewide grassroots campaign to stop expansion of fossil fuel infrastructure and support clean energy policies.",Clean Energy,,"$100,000"
03/2018,Pipeline Awareness Network for the Northeast,http://www.plan-ne.org/,To prevent unneeded natural gas development and champion clean energy solutions.,Clean Energy,,"$50,000"
12/2017,RTI International,http://www.rti.org/impact/rti-center-newborn-screening-ethics-and-disability-studies,"To develop and implement an accessible, multidimensional approach to educating and counseling parents whose infants are identified with a Fragile X premutation.  First payment of a five-year, $1.25 million grant.",Developmental Disabilities,Research to Clinical Practice Program,"$250,000"
12/2017,CommonWealth Kitchen,http://www.commonwealthkitchen.org/,To develop year-round custom product manufacturing services for the institutional market as a means for establishing an economically-viable supply chain for farmers in New England.,Regional Food Systems,,"$75,000"
12/2017,Massachusetts Farm to School,http://www.massfarmtoschool.org/,To educate critical farm to school decisionmakers about the need for stronger policies and programs to increase local foods procurement by Massachusetts schools.,Regional Food Systems,,"$25,000"
12/2017,Land for Good,http://www.landforgood.org/,To work with American Farmland Trust and Conservation Law Foundation to engage and educate policymakers and support stakeholder efforts to advance public policy actions around farmland access and farm transfer in New England.,Regional Food Systems,,"$25,000"
12/2017,Land for Good,http://www.landforgood.org/,"To provide technical assistance and educational resources to farmers and farmland owners in order to improve farmland access, transfer, and tenure for beginning and established farmers in New England.",Regional Food Systems,,"$30,000"
12/2017,Migrant Justice,http://www.migrantjustice.net/,To implement the Milk with Dignity Program in Ben & Jerry’s supply chain.,Regional Food Systems,,"$50,000"
12/2017,New Entry Sustainable Farming Project,http://www.nesfp.org/,To  develop a feasibility study of the interest of new American farm workers to organize farm labor pools to address the increasing shortage of available skilled agricultural labor in New England.,Regional Food Systems,,"$25,000"
12/2017,Cooperative Development Institute,http://www.cdi.coop/,"To support new American farmers in Maine and the Connecticut River Valley of Massachusetts and Connecticut to generate greater economic security for themselves, healthy food for local communities, and models for cooperative farm business development for the region’s farmers.",Regional Food Systems,,"$25,000"
12/2017,Northeast Sustainable Agriculture Working Group,http://www.nesawg.org/,"To advance policies supporting sustainable agriculture and food systems in the Northeast, and support food systems practitioners in being more effective policy advocates.",Regional Food Systems,,"$25,000"
12/2017,Learning Disabilities Association of America,http://www.ldaamerica.org/,"To use scientific consensus on environmental contributors to neurodevelopmental disorders to generate recommendations for policymakers and health professionals for significantly reducing harm from chemicals exposure, particularly during gestation and the early years of a child’s life.",Health and Environment,,"$75,000"
12/2017,Oregon Environmental Council,http://www.oeconline.org/,"To secure strong implementation of the Toxic Free Kids Act, and launch a campaign for the nation’s most forward-looking state healthy purchasing program.",Health and Environment,,"$50,000"
12/2017,Toxic-Free Future,http://www.toxicfreefuture.org/,"To protect human health and the environment from the impacts of perfluoroalkyl substances, toxic flame retardants, phthalates, and lead via market and policy change.",Health and Environment,,"$225,000"
12/2017,Energy Foundation,http://www.ef.org/,To use strategic communications to enhance and expand the Regional Greenhouse Gas Initiative program for reducing greenhouse gas emissions.,Clean Energy,,"$25,000"
12/2017,Meridian Institute,http://www.merid.org/,To assist lawmakers in Northeast states to expand their understanding of and support for a regionally-coordinated carbon pricing policy and establish carbon pricing policies in the Northeast.,Clean Energy,,"$50,000"
12/2017,Plug In America,http://www.pluginamerica.org/,To accelerate adoption of electric vehicles in New England by working with utilities and regulators to facilitate investment in charging infrastructure to ensure a seamless EV driving experience.,Clean Energy,Transportation,"$90,000"
12/2017,Vermont Energy Investment Corporation,http://www.veic.org/,To accelerate the deployment of plug-in electric vehicles and infrastructure in Vermont.,Clean Energy,Transportation,"$90,000"
12/2017,Ceres,http://www.ceres.org/,"To deploy business and investor leaders in Massachusetts and New Hampshire to defend, maintain, and advance key climate and clean energy policies.",Clean Energy,Increase Efficiency/Renewables,"$65,000"
12/2017,Acadia Center,http://www.acadiacenter.org,To sustain New England as a leader on clean energy.,Clean Energy,Increase Efficiency/Renewables,"$300,000"
12/2017,Vermont Public Interest Research and Education Fund,http://www.vpirg.org,To advance renewable energy solutions to meet Vermont’s climate and clean energy goals.,Clean Energy,Increase Efficiency/Renewables,"$50,000"
12/2017,Connecticut Fund for the Environment,http://www.ctenvironment.org/,"To ensure Connecticut achieves its long-term climate goals by developing clean distributed energy resources, accelerating adoption of electric vehicles, and securing a price on carbon.",Clean Energy,Increase Efficiency/Renewables,"$100,000"
